diaSemana,horaInici,horaFi,materia,professorId,grupId,aulaId
3,9:00,10:00,,JM,2B,
4,9:00,10:00,,NM,2C,
5,9:00,10:00,,L,3A,
1,9:00,10:00,,MA,3B,
3,9:00,10:00,,A,3C,
4,9:00,10:00,,AP,3rD,
5,9:00,10:00,,JT,4tA,
1,9:00,10:00,,LM,4tB,
3,9:00,10:00,,MV,4tC,
5,10:00,11:00,,CM,1A,
3,10:00,11:00,,MCY,1B,
3,10:00,11:00,,LA,1C,
2,10:00,11:00,,AF,2A,
3,10:00,11:00,,JM,2B,
4,10:00,11:00,,PF,2C,
5,10:00,11:00,,IZ,3A,
2,10:00,11:00,,BR,3B,
3,10:00,11:00,,JC,3C,
4,10:00,11:00,,MS,3rD,
5,10:00,11:00,,LM,4tA,
2,10:00,11:00,,JT,4tB,
4,10:00,11:00,,F,4tC,
5,11:00,11:30,,MS/C/TDR,1A,
1,11:30,12:30,,LC,1A,
2,11:30,12:30,,LA,1B,
